userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
,1,1743239033630097531,,,,,,,,,,-0.408669,-0.518014,-0.137445
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033635000000,,move,144,1053,0.219608,0,,,,,,
,1,1743239033649903236,,,,,,,-2.48997,7.61356,5.14035,,,
,1,1743239033650177891,,,,,,,,,,-0.290772,-0.433103,-0.086132
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033652000000,,move,148,1076,0.219608,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033669000000,,move,152,1092,0.215686,0,,,,,,
,1,1743239033669983596,,,,,,,-2.28886,7.70694,5.41329,,,
,1,1743239033670258252,,,,,,,,,,-0.300546,-0.489914,-0.0445932
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033685000000,,move,156,1105,0.215686,0,,,,,,
,1,1743239033690063956,,,,,,,-2.25294,7.72848,5.41808,,,
,1,1743239033690338611,,,,,,,,,,-0.33903,-0.513127,-0.0555887
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033702000000,,move,160,1119,0.223529,0,,,,,,
,1,1743239033710144316,,,,,,,-2.28646,7.65905,5.63356,,,
,1,1743239033710418972,,,,,,,,,,-0.355524,-0.387289,-0.0745256
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033719000000,,move,165,1130,0.219608,0,,,,,,
,1,1743239033730224676,,,,,,,-2.43011,7.58722,5.9448,,,
,1,1743239033730499332,,,,,,,,,,-0.313985,-0.267559,-0.0775799
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033735000000,,move,169,1139,0.219608,0,,,,,,
,1,1743239033750305036,,,,,,,-2.27689,7.39808,6.49307,,,
,1,1743239033750579691,,,,,,,,,,-0.230907,-0.244346,-0.0415388
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033752000000,,move,173,1148,0.223529,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033769000000,,move,177,1155,0.235294,0,,,,,,
,1,1743239033770385397,,,,,,,-2.26013,7.42681,6.8546,,,
,1,1743239033770660052,,,,,,,,,,-0.0855211,-0.220522,-0.0280998
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033785000000,,move,179,1158,0.25098,0,,,,,,
,1,1743239033790465756,,,,,,,-2.11887,7.40287,6.12916,,,
,1,1743239033790740412,,,,,,,,,,0.100182,-0.166155,-0.0250455
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033802000000,,move,180,1158,0.266667,0,,,,,,
,1,1743239033810546116,,,,,,,-2.22421,7.2664,5.78439,,,
,1,1743239033810820772,,,,,,,,,,0.178373,-0.157603,-0.0354302
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033819000000,,move,184,1153,0.270588,0,,,,,,
,1,1743239033830626477,,,,,,,-2.38462,7.58722,5.59285,,,
,1,1743239033830901132,,,,,,,,,,0.194866,-0.152716,-0.0305433
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033835000000,,move,188,1139,0.25098,0,,,,,,
,1,1743239033850706836,,,,,,,-2.45406,7.5561,5.37738,,,
,1,1743239033850981491,,,,,,,,,,0.222966,-0.231518,0.00244346
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033852000000,,move,194,1122,0.239216,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033869000000,,move,210,1095,0.231373,0,,,,,,
,1,1743239033870787197,,,,,,,-2.03268,7.60159,5.54258,,,
,1,1743239033871061852,,,,,,,,,,0.251066,-0.255953,0.0335976
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033886000000,,move,237,1060,0.227451,0,,,,,,
,1,1743239033890867556,,,,,,,-2.09493,7.63032,5.94241,,,
,1,1743239033891142212,,,,,,,,,,0.265726,-0.102625,0.0378736
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033902000000,,move,268,1020,0.223529,0,,,,,,
,1,1743239033910947916,,,,,,,-2.23858,7.66145,5.80115,,,
,1,1743239033911222572,,,,,,,,,,0.328645,0.0207694,0.0354302
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033919000000,,move,302,975,0.215686,0,,,,,,
,1,1743239033931028277,,,,,,,-2.08774,7.82186,4.96557,,,
,1,1743239033931272414,,,,,,,,,,0.364687,0.111788,0.0537561
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033936000000,,move,338,924,0.207843,0,,,,,,
,1,1743239033951108636,,,,,,,-2.23858,7.93678,4.48434,,,
,1,1743239033951352775,,,,,,,,,,0.317039,0.187536,0.0623083
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033952000000,,move,374,874,0.211765,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033969000000,,move,396,836,0.211765,0,,,,,,
,1,1743239033971188997,,,,,,,-1.92494,7.74764,4.26407,,,
,1,1743239033971433135,,,,,,,,,,0.239459,0.0788016,0.0745256
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033986000000,,move,406,814,0.211765,0,,,,,,
,1,1743239033991269357,,,,,,,-2.00634,7.82186,4.83389,,,
,1,1743239033991513495,,,,,,,,,,0.11973,-0.000610865,0.0329867
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034002000000,,move,413,803,0.207843,0,,,,,,
,1,1743239034011349716,,,,,,,-2.17394,7.79791,5.12599,,,
,1,1743239034011624372,,,,,,,,,,0.0720821,-0.00122173,-0.0177151
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034019000000,,move,421,793,0.207843,0,,,,,,
,1,1743239034031430077,,,,,,,-2.11647,7.85538,5.08768,,,
,1,1743239034031704732,,,,,,,,,,0.0891863,0.00427606,-0.0256563
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034036000000,,move,431,783,0.203922,0,,,,,,
,1,1743239034051510437,,,,,,,-2.22182,7.9703,4.77404,,,
,1,1743239034051785092,,,,,,,,,,0.0763582,0.0189368,-0.0299324
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034052000000,,move,447,768,0.2,0,,,,,,
