userid,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467347000000,,move,578.783,955.938,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467364000000,,move,602.995,955.938,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467381000000,,move,630.366,955.938,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467397000000,,move,653.673,955.938,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467414000000,,move,679.113,955.938,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467431000000,,move,696.149,953.58,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467445000000,,move,712.458,947.944,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467481000000,,move,718.925,947.944,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467497000000,,move,733.453,947.944,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467514000000,,move,735.65,943.947,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467547000000,,move,758.758,938.934,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467597000000,,move,791.324,934.937,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467614000000,,move,798.959,927.052,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467631000000,,move,812.566,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467647000000,,move,822.74,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467664000000,,move,831.488,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467681000000,,move,842.375,925.524,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467688000000,,move,846.98,920.946,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467714000000,,move,855.891,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467731000000,,move,867.115,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467747000000,,move,876.477,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467764000000,,move,885.07,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467781000000,,move,895.429,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467786000000,,move,898.956,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467814000000,,move,905.843,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467820000000,,move,908.976,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467845000000,,move,914.941,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467867000000,,move,919.951,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467916000000,,up,919.951,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295468917000000,,down,242.974,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295468994000000,,move,250.982,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469014000000,,move,257.49,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469031000000,,move,261.944,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469064000000,,move,275.699,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469081000000,,move,310.645,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469097000000,,move,350.594,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469114000000,,move,391.209,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469131000000,,move,419.477,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469147000000,,move,452.256,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469164000000,,move,486.68,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469181000000,,move,523.236,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469197000000,,move,551.905,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469214000000,,move,584.375,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469231000000,,move,609.438,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469247000000,,move,624.235,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469264000000,,move,639.692,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469281000000,,move,652.792,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469297000000,,move,670.673,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469314000000,,move,688.898,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469331000000,,move,698.388,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469347000000,,move,705.574,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469364000000,,move,713.69,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469397000000,,move,720.17,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469464000000,,move,742.91,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469481000000,,move,771.153,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469497000000,,move,803.034,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469514000000,,move,829.186,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469528000000,,move,842.942,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469546000000,,move,846.98,922.945,1,0.000000596046,,,
